0,#,Название,Название (англ.),Школа магии,Порог сотворения,Источник
118,282,Сглаз,The Evil Eye,Ведьмовская магия (Школа Ведьмовства),6,Книга правил
270,283,Серебряный компас Пачты,Puchta's Silver Compass,Цветная магия (Школа Металла),2,Ветры магии
216,284,Серые крылья,Grey Wings,Цветная магия (Школа Теней),5,Ветры магии
92,285,Сеть Аминтока,Net of Amyntok,Цветная магия (Школа Света),8,Книга правил
234,286,Сиюминутный библиотекарь Мейснера,Meissner's Instantaneous Librarian,Цветная магия (Школа Света),2,Ветры магии
235,287,Сквозь пелену,Pierce the Veil,Цветная магия (Школа Света),4,Ветры магии
249,288,Скорость Ликоса,Speed of Lykos,Цветная магия (Школа Смерти),3,Ветры магии
93,289,Скорость мысли,Speed of Thought,Цветная магия (Школа Света),8,Книга правил
236,290,Слепящее сияние,Dazzling Brightness,Цветная магия (Школа Света),5,Ветры магии
94,291,Слепящий свет,Blinding Light,Цветная магия (Школа Света),5,Книга правил
279,292,Смертельное освобождение,Death’s Release,Цветная магия (Школа Смерти),5,Ветры магии
60,293,Смертоносная стая,Flock of Doom,Цветная магия (Школа Зверей),8,Книга правил
40,294,Смертоносное дыхание,Breath,Общие заклинания,6,Книга правил
123,295,Снадобье забвения,Nepenthe,Ведьмовская магия (Школа Знахарства),0,Книга правил
354,296,Соберись!,Get Some Guts,Школа Великой Пасти,6,Племена и бедствия
307,297,Соглашение Богов,Godspakt,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
23,298,Сон,Sleep,Простейшие заклинания,0,Книга правил
317,299,Сосуд Боли,Painjar,Ведьмовская магия (Школа Ведьмовства),7,Кровь и ежевика
322,300,Союзник Виссана,Wyssan’s Ally,Цветная магия (Школа Зверей),4,Заклинания непревзойденной полезности Сулласары
0,,,,Ведьмовская магия (Школа Ведьмовства)Ведьмовская магия (Школа Знахарства)Заклинания большого Вааагх!Магия малого Вааагх!Магия Хаоса (Школа Нургла)Магия Хаоса (Школа Слаанеша)Магия Хаоса (Школа Тзинча)Общие заклинанияПростейшие заклинанияТемная магия (Школа Демонологии)Темная магия (Школа Некромантии)Цветная магия (Школа Жизни)Цветная магия (Школа Зверей)Цветная магия (Школа Металла)Цветная магия (Школа Небес)Цветная магия (Школа Огня)Цветная магия (Школа Света)Цветная магия (Школа Смерти)Цветная магия (Школа Теней)Школа Великой Пасти,,Архивы империи - Том 2Ветры магииЗаклинания непревзойденной полезности СулласарыКнига правилКровь и ежевикаМидденхайм - Город Белого ВолкаМоре КогтейПлемена и бедствияПриключения в Убершрейке II: Благословение кровиПриключения в Убершрейке II: Смертоносная посылкаСтартовый набор
41,301,Стрела,Bolt,Общие заклинания,4,Книга правил
289,302,Стремительная поступь,Quick Passage,Цветная магия (Школа Зверей),4,Ветры магии
365,303,Стыбзить!,Nikkit!,Магия малого Вааагх!,3,Племена и бедствия
124,304,Сумеречная прогулка,Mirkride,Ведьмовская магия (Школа Знахарства),0,Книга правил
288,305,Сущность тени,Substance of Shadow,Цветная магия (Школа Теней),9,Ветры магии
282,306,Сфера Хиш,Orb of Hysh,Цветная магия (Школа Света),5,Ветры магии
156,307,Таинственное зеркало,Mystic Mirror,Цветная магия (Школа Небес),7,Ветры магии
306,308,Талисман несчастья,Woecharm,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
287,309,Танец безнадёги,Dance of Despair,Цветная магия (Школа Теней),13,Ветры магии
42,310,Телекинез,Move Object,Общие заклинания,4,Книга правил
278,311,Телепатия,Telepathy,Цветная магия (Школа Смерти),1,Ветры магии
43,312,Телепортация,Teleport,Общие заклинания,5,Книга правил
286,313,Теневая роща,Shadow Grove,Цветная магия (Школа Теней),5,Ветры магии
109,314,Теневой скакун,Shadowsteed,Цветная магия (Школа Теней),6,Книга правил
342,315,Тени великолепия,Shadows of Splendour,Цветная магия (Школа Теней),4,Заклинания непревзойденной полезности Сулласары
285,316,Тишина,Hush,Цветная магия (Школа Теней),3,Ветры магии
305,317,Транкрафт,Trankraft,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
72,318,Трансмутация Шамона,Transmutation of Chamon,Цветная магия (Школа Металла),12,Книга правил
80,319,Третье знамение Амула,The Third Portent of Amul,Цветная магия (Школа Небес),12,Книга правил
349,320,Трольи потроха,Trollguts,Школа Великой Пасти,6,Архивы империи - Том 2
24,321,Тычок,Twitch,Простейшие заклинания,0,Книга правил
277,322,Увядание конечностей,Limbwither,Цветная магия (Школа Смерти),5,Ветры магии
356,323,Угомонись!,Behave!,Магия малого Вааагх!,2,Племена и бедствия
110,324,Удушающие тени,Choking Shadows,Цветная магия (Школа Теней),6,Книга правил
44,325,Ужасающий облик,Terrifying,Общие заклинания,7,Книга правил
128,326,Уничтожение низшего демона,Destroy Lesser Daemon,Темная магия (Школа Демонологии),6,Книга правил
111,327,Ускользающие воспоминания,Mindslip,Цветная магия (Школа Теней),6,Книга правил
45,328,Устрашающий облик,Fearsome,Общие заклинания,3,Книга правил
294,329,Усыпляющее затишье,Soporific lull,Магия Хаоса (Школа Слаанеша),6,Приключения в Убершрейке II: Благословение крови
276,330,Участь Бьюны,Fate of Bjuna,Цветная магия (Школа Смерти),8,Ветры магии
157,331,Фантастическое предсказание,Fantastic foresight,Цветная магия (Школа Небес),7,Ветры магии
336,332,Фермент,Ferment,Цветная магия (Школа Жизни),3,Заклинания непревзойденной полезности Сулласары
331,333,Флюгер,Weathervane,Цветная магия (Школа Небес),2,Заклинания непревзойденной полезности Сулласары
174,334,Холерик,Choleric,Цветная магия (Школа Огня),2,Ветры магии
275,335,Хрустальный лабиринт,Crystal Maze,Цветная магия (Школа Смерти),13,Ветры магии
56,336,Цветение жизни,Lifebloom,Цветная магия (Школа Жизни),8,Книга правил
281,337,Целеустремлённость,Driving intent,Цветная магия (Школа Света),4,Ветры магии
95,338,Целительный свет,Healing Light,Цветная магия (Школа Света),9,Книга правил
46,339,Цепной разряд,Chain Attack,Общие заклинания,6,Книга правил
175,340,Чарующее пламя,Captivating Flame,Цветная магия (Школа Огня),3,Ветры магии
284,341,Черный кошмар,Black Horrors,Цветная магия (Школа Теней),6,Ветры магии
298,342,Чист как стёклышко,Cleanslate,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
25,343,Чревовещание,Murmured Whisper,Простейшие заклинания,0,Книга правил
335,344,Чувство металла,Sense Metal,Цветная магия (Школа Металла),1,Заклинания непревзойденной полезности Сулласары
112,345,Шаг сквозь тени,Shadowstep,Цветная магия (Школа Теней),8,Книга правил
191,346,Шепот природы,Nature's Whisper,Цветная магия (Школа Жизни),8,Ветры магии
61,347,Шкура охотника,Hunter’s Hide,Цветная магия (Школа Зверей),6,Книга правил
158,348,Шторм Шемтека,Storm of Shemtek,Цветная магия (Школа Небес),11,Ветры магии
332,349,Штормовой ветер,Gale,Цветная магия (Школа Небес),5,Заклинания непревзойденной полезности Сулласары
372,350,Ща мы почапали!,‘Ere We Go!,Заклинания большого Вааагх!,7,Племена и бедствия
88,351,Эгида Акши,Aqshy’s Aegis,Цветная магия (Школа Огня),5,Книга правил
47,352,Эфирное оружие,Aethyric Arms,Общие заклинания,2,Книга правил
48,353,Эфирный доспех,Aethyric Armour,Общие заклинания,2,Книга правил
62,354,Язык зверей,Beast Tongue,Цветная магия (Школа Зверей),3,Книга правил
283,355,Яма Тарнуса,Pit of Tarnus,Цветная магия (Школа Теней),8,Ветры магии
63,356,Янтарное копьё,The Amber Spear,Цветная магия (Школа Зверей),8,Книга правил
64,357,Янтарные когти,Amber Talons,Цветная магия (Школа Зверей),6,Книга правил
292,358,Янтарный транс,Amber trance,Цветная магия (Школа Зверей),4,Ветры магии
96,359,Ясность мыслей,Clarity of Thought,Цветная магия (Школа Света),6,Книга правил
